modelo,clase,precision,recall,f1_score,support
TF-IDF + Regresión Logística,OK,0.9148936170212766,0.9148936170212766,0.9148936170212766,47.0
TF-IDF + Regresión Logística,E1,0.9807692307692307,1.0,0.9902912621359223,51.0
TF-IDF + Regresión Logística,E2,0.875,1.0,0.9333333333333333,42.0
TF-IDF + Regresión Logística,E3,1.0,0.8541666666666666,0.9213483146067416,48.0
TF-IDF + Regresión Logística,E4,0.9591836734693877,1.0,0.9791666666666666,47.0
TF-IDF + Regresión Logística,E5,1.0,0.9622641509433962,0.9807692307692307,53.0
TF-IDF + Regresión Logística,E6,1.0,1.0,1.0,40.0
TF-IDF + Linear SVM,OK,1.0,0.8936170212765957,0.9438202247191011,47.0
TF-IDF + Linear SVM,E1,1.0,1.0,1.0,51.0
TF-IDF + Linear SVM,E2,0.875,1.0,0.9333333333333333,42.0
TF-IDF + Linear SVM,E3,0.9183673469387755,0.9375,0.9278350515463918,48.0
TF-IDF + Linear SVM,E4,1.0,1.0,1.0,47.0
TF-IDF + Linear SVM,E5,1.0,0.9622641509433962,0.9807692307692307,53.0
TF-IDF + Linear SVM,E6,1.0,1.0,1.0,40.0
TF-IDF + Naive Bayes,OK,0.7441860465116279,0.6808510638297872,0.7111111111111111,47.0
TF-IDF + Naive Bayes,E1,0.84,0.8235294117647058,0.8316831683168316,51.0
TF-IDF + Naive Bayes,E2,0.8529411764705882,0.6904761904761905,0.7631578947368421,42.0
TF-IDF + Naive Bayes,E3,0.6333333333333333,0.7916666666666666,0.7037037037037037,48.0
TF-IDF + Naive Bayes,E4,0.8235294117647058,0.8936170212765957,0.8571428571428571,47.0
TF-IDF + Naive Bayes,E5,0.94,0.8867924528301887,0.912621359223301,53.0
TF-IDF + Naive Bayes,E6,1.0,1.0,1.0,40.0
TF-IDF + SGD LogLoss,OK,0.9019607843137255,0.9787234042553191,0.9387755102040817,47.0
TF-IDF + SGD LogLoss,E1,0.9807692307692307,1.0,0.9902912621359223,51.0
TF-IDF + SGD LogLoss,E2,0.9285714285714286,0.9285714285714286,0.9285714285714286,42.0
TF-IDF + SGD LogLoss,E3,1.0,0.9375,0.967741935483871,48.0
TF-IDF + SGD LogLoss,E4,1.0,1.0,1.0,47.0
TF-IDF + SGD LogLoss,E5,1.0,0.9622641509433962,0.9807692307692307,53.0
TF-IDF + SGD LogLoss,E6,1.0,1.0,1.0,40.0
